"id","code","name"
Cat_019_13941,13941,"Fabricación de cuerdas de henequén y otras fibras naturales (lazos, pitas)"
Cat_019_13942,13942,"Fabricación de redes de diversos materiales"
Cat_019_13948,13948,"Maquilado de productos trenzables de cualquier material (petates, sillas, etc.)"
Cat_019_13991,13991,"Fabricación de adornos, etiquetas y otros artículos para prendas de vestir"
Cat_019_13992,13992,"Servicio de bordados en artículos y prendas de tela"
Cat_019_13999,13999,"Fabricación de productos textiles ncp"
Cat_019_14101,14101,"Fabricación de ropa interior, para dormir y similares"
Cat_019_14102,14102,"Fabricación de ropa para niños"
Cat_019_14103,14103,"Fabricación de prendas de vestir para ambos sexos"
Cat_019_14104,14104,"Confección de prendas a medida"
Cat_019_14105,14105,"Fabricación de prendas de vestir para deportes"
Cat_019_14106,14106,"Elaboración de artesanías de uso personal confeccionadas especialmente de materiales textiles"
Cat_019_14108,14108,"Maquilado de prendas de vestir, accesorios y otros"
Cat_019_14109,14109,"Fabricación de prendas y accesorios de vestir n.c.p."
Cat_019_14200,14200,"Fabricación de artículos de piel"
Cat_019_14301,14301,"Fabricación de calcetines, calcetas, medias (panty house) y otros similares"
Cat_019_14302,14302,"Fabricación de ropa interior de tejido de punto"
Cat_019_14309,14309,"Fabricación de prendas de vestir de tejido de punto ncp"
Cat_019_15110,15110,"Curtido y adobo de cueros; adobo y teñido de pieles"
Cat_019_15121,15121,"Fabricación de maletas, bolsos de mano y otros artículos de marroquinería"
Cat_019_15122,15122,"Fabricación de monturas, accesorios y vainas talabartería"
Cat_019_15123,15123,"Fabricación de artesanías principalmente de cuero natural y sintético"
Cat_019_15128,15128,"Maquilado de artículos de cuero natural, sintético y de otros materiales"
Cat_019_15201,15201,"Fabricación de calzado"
Cat_019_15202,15202,"Fabricación de partes y accesorios de calzado"
Cat_019_15208,15208,"Maquilado de partes y accesorios de calzado"
Cat_019_16100,16100,"Aserradero y acepilladura de madera"
Cat_019_16210,16210,"Fabricación de madera laminada, terciada, enchapada y contrachapada, paneles para la construcción"
Cat_019_16220,16220,"Fabricación de partes y piezas de carpintería para edificios y construcciones"
Cat_019_16230,16230,"Fabricación de envases y recipientes de madera"
Cat_019_16292,16292,"Fabricación de artesanías de madera, semillas, materiales trenzables"
